Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output11,Output12,Output13,Output14,Output15
0.0,1.6414970453053183E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.003115501519756839,0.0,2.2796352583586625E-4,0.0,0.0,6.079027355623101E-4,0.0,0.0,0.0,0.0011398176291793312,0.0013677811550151975,0.0,0.0,7.598784194528876E-5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.001437607820586544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875215641173088E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.003787226717163023,0.0,0.010214035691742698,0.0,7.459688988351408E-4,1.1476444597463706E-4,0.0,4.0167556091122973E-4,1.1476444597463706E-4,4.5905778389854825E-4,1.7214666896195557E-4,0.0,0.0,3.4429333792391115E-4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3.3195020746887966E-4,0.0,0.0,8.298755186721991E-5,0.0,8.298755186721991E-5,0.0,0.0,8.298755186721991E-5,6.639004149377593E-4,0.0,0.0,8.298755186721991E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.132667617689016E-4,0.0,0.003138373751783167,0.0,0.0,0.0,0.0,0.0,0.0,1.426533523537803E-4,1.426533523537803E-4,0.0,0.0,1.426533523537803E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.001352569882777277,0.0,0.003944995491433724,0.0,9.017132551848512E-4,0.0,0.0,0.0,0.0,3.3814247069431923E-4,1.127141568981064E-4,0.0,0.0,4.508566275924256E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,7.083407118824154E-4,0.0,0.004250044271294493,0.0,1.7708517797060386E-4,0.0,0.0,0.0,0.0,1.7708517797060386E-4,1.7708517797060386E-4,0.0,0.0,0.0021250221356472463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.003659797915506405,0.0,1.5912164850027846E-4,7.956082425013923E-5,7.956082425013923E-4,0.0,0.0,2.3868247275041769E-4,3.182432970005569E-4,0.0,1.5912164850027846E-4,0.0,7.956082425013923E-5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.002311916000385319,0.0,2.889895000481649E-4,0.0,0.0,3.8531933339755323E-4,0.0,1.9265966669877662E-4,4.816491667469415E-4,0.0010596281668432714,3.8531933339755323E-4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.005873176103514729,0.0,0.0,9.176837661741764E-5,0.0011012205194090117,5.506102597045058E-4,4.588418830870882E-4,0.0,0.0,8.259153895567588E-4,0.0021106726622006056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.004217432052483599,0.0,0.010231177756950953,0.0,0.0,2.3430178069353328E-4,0.0,7.810059356451109E-5,0.0,7.810059356451109E-5,7.810059356451109E-5,0.0,7.810059356451109E-5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0014771048744460858,0.0,0.0,0.0,0.0,0.0,0.0,2.1101498206372652E-4,0.0012660898923823592,8.440599282549061E-4,4.2202996412745304E-4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0028963234424872917,0.0,0.0,0.0021870197422863224,9.457382669346259E-4,5.910864168341412E-5,8.275209835677976E-4,0.0,1.1821728336682824E-4,0.0018914765338692518,0.0013003901170351106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0023215022699133304,0.0,3.0953363598844406E-4,7.738340899711101E-4,5.158893933140735E-5,0.0029405695418902185,1.031778786628147E-4,0.0033016921172100704,5.158893933140735E-5,0.0016508460586050352,0.0073256293850598436,0.0,0.0067065621130829554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
